,pl_mass,st_mass,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,1.0,1.0,1.0,14.617502422573585,1.0,310339604.8767794,38999377.584296755,Jackson,-0.40851614281453685,-0.7540100417039822,linear,0.05573484582252026,47399269752114.984,0.12761676329485827,0.05573484582252026
1,1.0,1.0,1.0,1.9999549025503296,1.0,3926181484.576467,55651685.54033545,Jackson,-0.4542359716257804,-0.7064425868140204,linear,0.39835903628067065,676126381475894.4,0.15975742896214118,0.39835903628067065
2,1.0,1.0,1.0,2.0277576680092766,1.0,3814527092.768949,86127433.73391943,Jackson,-0.28759256089348906,-0.7130118954648532,GP,0.1411299117901798,651298272083340.9,0.14006120990243365,0.1411299117901798
3,1.0,1.0,1.0,1.7539902582718172,1.0,5897425160.894397,95666447.65354994,Jackson,-0.28794482624508294,-0.6391772562450159,log,0.09719756579062239,1013484543112583.8,0.9850812450110993,0.09719756579062239
4,1.0,1.0,1.0,0.6293459652352397,1.0,7488298324.438326,27975901.875288192,Selsis,-0.3323631587963339,-0.6108216391760951,log,0.13162723287655984,9.376135839873373e+20,0.445481810626006,0.13162723287655984
5,1.0,1.0,1.0,1.406039943553808,1.0,2323568730.4911127,28542331.30293688,Selsis,-0.3698745309044941,-0.7680916020274128,GP,0.1664297542031972,6.461013975743935e+20,0.3991161186199166,0.1664297542031972
6,1.0,1.0,1.0,0.879159571487731,1.0,3889744848.3651404,36322745.01000403,Selsis,-0.3477848802667219,-0.6177582326830223,linear,0.4843639775226983,6.947816568226776e+20,0.15153749261547067,0.4843639775226983
7,1.0,1.0,1.0,3.425453439587075,1.0,1673458819.657048,95623281.07932591,Jackson,-0.31201295193541445,-0.7851938273965419,linear,0.07022559218598062,275625376538449.88,0.7528602437674681,0.07022559218598062
8,1.0,1.0,1.0,2.9578679158947017,1.0,2060837365.5018046,67123840.04955634,Jackson,-0.33490716061085,-0.6660040060115229,log,0.12543441588260154,348273332503283.4,0.9473360387045127,0.12543441588260154
9,1.0,1.0,1.0,14.396396482914561,1.0,315377658.98193556,42371740.646277055,Jackson,-0.39834464664389446,-0.7962711780851583,GP,0.20743710922696457,47690242232926.2,0.21298062446075172,0.20743710922696457
10,1.0,1.0,1.0,1.4838323723351041,1.0,2204754139.6730404,52730880.53396719,Selsis,-0.31776535587045074,-0.7505071297500201,GP,0.10884862104306199,5.464735889400873e+20,0.24709786834120528,0.10884862104306199
11,1.0,1.0,1.0,1.21091198718393,1.0,2707085099.347618,4272508.509937404,Selsis,-0.4397207070752234,-0.6841157205795017,GP,0.1531806826651451,6.03129065432018e+20,0.21483438937842192,0.1531806826651451
12,1.0,1.0,1.0,0.7222556104078871,1.0,5114796783.407475,18011913.03440229,Selsis,-0.39655511008901057,-0.7275670499005474,linear,0.16575474704068055,6.778162155228228e+20,0.43817847595807347,0.16575474704068055
