pl_mass,pl_radius,mass_source,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,orbit_source,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,N2O2_frac,C_loss,atmospheric_loss
0.692,0.92,catalog,0.09,249.61641128329384,0.65,221.38517062067552,0.02925,catalog,3617475227.31305,71898767.99789692,Selsis,-0.3107295008633987,-0.7547424088282182,linear,0.22056135462842494,0.3608460550615411,6.432185392750385e+22,8.576247190333846e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,121.79332568547048,0.02925,catalog,3953830043.622501,35705990.81306129,Jackson,-0.2849843506434335,-0.7196141655443962,linear,0.1274618776704868,0.7943805553471708,1.3699236967393275e+23,1.82656492898577e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,176.15675882661827,0.02925,catalog,4937737800.956368,63349829.54045606,Selsis,-0.4914499841068033,-0.6560652458373437,log,0.07219192956151668,0.7854336332793139,1.56409287255841e+22,2.0854571634112133e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,152.96006015381337,0.02925,catalog,3242053022.9665527,11552476.186539533,Jackson,-0.43084278334697923,-0.7578497741848282,log,0.4490889597599086,0.5957237032376332,2.776378241129653e+23,3.701837654839537e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,397.2557185047144,0.02925,catalog,1453363360.4366446,89297504.91980274,Jackson,-0.4231129970899728,-0.6091551340856406,linear,0.16482546404671597,0.6059201777217587,6.897327063588348e+22,9.196436084784464e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,217.2658763007242,0.02925,catalog,4054261970.692486,72597372.6770935,Selsis,-0.31482688083620736,-0.6041428250845733,linear,0.3303998144831438,0.8812581498217958,1.2338606575708633e+23,1.6451475434278178e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,266.97677506773596,0.02925,catalog,2019383587.235144,72542399.44352113,Jackson,-0.34326382729341864,-0.7136632116277609,linear,0.14219970117697,0.08720985458779607,7.914583539988111e+22,1.055277805331748e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,100.15799742669097,0.02925,catalog,4699975523.899936,53041218.77560833,Jackson,-0.29927451629751406,-0.6466331188172142,GP,0.057302071268526496,0.1357136160179987,5.557818332311566e+22,7.410424443082087e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,185.38198123581213,0.02925,catalog,2748392960.8340907,48727484.644740224,Jackson,-0.31215980622807854,-0.7722973798705213,GP,0.2851434119165275,0.7335834690346178,2.1840192137558318e+23,2.912025618341109e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,76.29373500207626,0.02925,catalog,9249846517.033253,33000848.68234626,Selsis,-0.3800428224838267,-0.7735626201418817,linear,0.0716856905937,0.9542260339101752,2.5799045808645514e+22,3.4398727744860686e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,350.8681203077516,0.02925,catalog,1609505079.5191433,7330211.319712908,Jackson,-0.3302092411470035,-0.7680764810748029,GP,0.09026608077020994,0.48525153188377845,7.088724502599081e+22,9.451632670132106e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,107.06878041009047,0.02925,catalog,7141339505.304424,37958303.235793695,Selsis,-0.4490018229654812,-0.6014742522921579,GP,0.47703731634825947,0.259756321045464,1.7126736442672992e+23,2.2835648590230657e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,221.38517062067552,0.02925,catalog,1724801984.0358942,79096024.04131745,Selsis,-0.4190014973684321,-0.770135611262435,log,0.4046867110035516,0.40242648745632403,3.4035235396218792e+22,4.538031386162505e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,221.38517062067552,0.02925,catalog,2848061679.3857937,9309702.592892215,Selsis,-0.48139358584960906,-0.6806020074819933,log,0.10989433449338319,0.42955126870316085,1.6237727591912922e+22,2.1650303455883893e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,165.35389625698477,0.02925,catalog,3031379662.450923,59918973.49932418,Jackson,-0.34530990731918015,-0.708475488387301,log,0.05655674769004812,0.34986791192983135,3.5745743874834242e+22,4.766099183311232e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,126.65606341255229,0.02925,catalog,6296585254.452526,24891729.69698005,Selsis,-0.37892230658269765,-0.6074005529763912,linear,0.06800409034520857,0.2587627439889503,2.677268013765995e+22,3.5696906850213267e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,221.38517062067552,0.02925,catalog,3396198227.390739,3424027.380900894,Selsis,-0.2929534040424804,-0.762853937493599,GP,0.08739248159968717,0.5028526568977225,3.313083800676596e+22,4.417445067568794e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,185.9919515636699,0.02925,catalog,2740692963.5475683,51853515.998317786,Jackson,-0.39501532140727885,-0.7792383680215509,linear,0.3500340869940961,0.5010619598894712,1.8283431134558252e+23,2.4377908179411003e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,208.27108537330545,0.02925,catalog,2489103067.8257375,38169949.2626724,Jackson,-0.369741403854657,-0.7022271130999068,log,0.43175042429839505,0.1444355520948809,2.5701183117178684e+23,3.426824415623824e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,270.82231785650674,0.02925,catalog,1995384117.1707766,46368306.19177456,Jackson,-0.37616217502891863,-0.7381501274985648,GP,0.17652960305644566,0.24059544633224572,9.371325044759033e+22,1.249510005967871e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,168.98916622258344,0.02925,catalog,5089778592.455716,52930993.03276962,Selsis,-0.4687900932964171,-0.7571931499223009,GP,0.19687697259057685,0.658342673853466,3.925875254014566e+22,5.234500338686088e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,139.0514860594978,0.02925,catalog,3521483070.1459346,68725743.01375085,Jackson,-0.47465500087841084,-0.6918235728682944,linear,0.06750270371726343,0.20396887806035147,3.185262356814367e+22,4.247016475752489e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,221.38517062067552,0.02925,catalog,1787449002.61201,1621415.0308159401,Selsis,-0.3676945308220205,-0.7239613135373458,log,0.06490943763890734,0.9524548728711445,1.0030623756558214e+22,1.3374165008744284e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,54.37758381374241,0.02925,catalog,8202830342.89907,80331675.23032176,Jackson,-0.4638225881689179,-0.7141355487734007,log,0.06294209922469637,0.8505084228086812,3.2731132333397237e+22,4.364150977786298e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,227.0441018723435,0.02925,catalog,2313827924.0241265,14488544.254507428,Jackson,-0.4472353336173455,-0.6102296521565097,log,0.08303969490163797,0.4818892071520702,5.211876318480043e+22,6.949168424640057e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,140.91871105435186,0.02925,catalog,5817086084.077808,42977648.782523565,Selsis,-0.48244438711223,-0.6072313957882532,log,0.12835898440603902,0.7609010458160301,3.793688816616984e+22,5.0582517554893115e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,221.38517062067552,0.02925,catalog,2674151809.9385753,80417881.59789163,Selsis,-0.3428954876503659,-0.6960038628004622,log,0.08442085603075794,0.505939833123789,1.5316561179379767e+22,2.0422081572506354e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,221.38517062067552,0.02925,catalog,2874223303.3848486,15226359.864543917,Selsis,-0.36800060803722734,-0.7880664204249573,linear,0.29268312156156695,0.9230357857267958,5.324059542976063e+22,7.098746057301417e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,111.47324772340322,0.02925,catalog,4274421154.1005697,93236799.77295074,Jackson,-0.297824203065593,-0.6475609152448082,GP,0.23512991632438596,0.1807055084620346,2.0408810239921548e+23,2.7211746986562062e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,118.93419840413394,0.02925,catalog,4037213468.4162226,37356827.23423566,Jackson,-0.3942779066288033,-0.7677074051319602,linear,0.4420777750987969,0.8557236869280392,2.621475461780252e+23,3.495300615707002e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,67.80751444565252,0.02925,catalog,10137547861.917715,96157057.87194903,Selsis,-0.45768683690598916,-0.7110644341822725,log,0.3046569891342777,0.6698431417237437,8.980421032239373e+22,1.1973894709652496e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,221.38517062067552,0.02925,catalog,2064451494.4979205,29300512.528446734,Selsis,-0.48077273632580114,-0.7351885347124336,log,0.309324475103228,0.037451598354592,3.070494496786128e+22,4.093992662381504e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,222.51572795036972,0.02925,catalog,1084235713.736407,59994490.11389059,Selsis,-0.3218616224059675,-0.7249723995246808,linear,0.22223902565747775,0.7234964128896794,2.260069242619789e+22,3.013425656826385e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,126.3002744620515,0.02925,catalog,3829857661.646552,69360337.21155204,Jackson,-0.3785913254180757,-0.6918690139983422,log,0.054761821720817436,0.5996794061914175,3.118567773836052e+22,4.158090365114735e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,66.18888706374167,0.02925,catalog,10330824045.055792,69434449.30444881,Selsis,-0.37867563121414255,-0.6205884232453008,GP,0.2433804005819461,0.8497780046591035,1.1342771485339968e+23,1.5123695313786624e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,169.47023187669197,0.02925,catalog,2967979749.60295,12985323.728198368,Jackson,-0.34599797368816343,-0.6835216088918629,log,0.2703433239210667,0.5017660109302052,2.124074327650448e+23,2.8320991035339304e+23
0.692,0.92,catalog,0.09,249.61641128329384,0.65,221.38517062067552,0.02925,catalog,3550553460.973558,7893980.212039722,Selsis,-0.4375099773445236,-0.6182949797769854,log,0.051980615476993924,0.3833162819187853,1.157828204199878e+22,1.5437709389331704e+22
0.692,0.92,catalog,0.09,249.61641128329384,0.65,221.38517062067552,0.02925,catalog,2967766279.479224,78012347.31117064,Selsis,-0.2818443124203873,-0.767790890777694,GP,0.3367199254798129,0.8347374102344359,1.043964167353766e+23,1.3919522231383546e+23
