,pl_mass,st_mass,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,0.815,1.0,1.911,0.7038257958541404,1.0,5479267276.210262,91567134.23930104,Selsis,-0.3401175840357199,-0.7356808085960274,log,0.1470464826530089,7.432126428349437e+20,0.24609842717914843,0.1470464826530089
1,0.815,1.0,1.911,2.187193153845603,1.0,3308147340.3960037,83697736.29375124,Jackson,-0.3376928686518039,-0.7736627728685602,linear,0.14445371259468945,6.708453264458037e+20,0.6106417978201223,0.14445371259468945
2,0.815,1.0,1.911,3.9389697334799556,1.0,1395416096.6747959,36271871.25500166,Jackson,-0.42472771552740607,-0.6409691053938569,linear,0.2690684079841838,8.686457751714365e+20,0.5892337727950984,0.2690684079841838
3,0.815,1.0,1.911,1.814572657192213,1.0,4823214805.529011,38557907.182425715,Jackson,-0.4827995968931699,-0.717721557972123,log,0.13895201691128703,5.218574448079213e+20,0.2117219483501619,0.13895201691128703
4,0.815,1.0,1.911,2.634506455567704,1.0,2442950194.907149,44408086.442667514,Jackson,-0.4548705610085685,-0.7712694586269593,linear,0.23561164001738702,6.902482101298701e+20,0.3817898955039313,0.23561164001738702
5,0.815,1.0,1.911,1.0904004826539337,1.0,3028357789.4618297,98976295.11308585,Selsis,-0.447611003224632,-0.7241714465384026,log,0.40986093050525885,1.1919596289590742e+21,0.9436137202069086,0.40986093050525885
6,0.815,1.0,1.911,2.5460981949852917,1.0,2578409433.52925,94280231.31982651,Jackson,-0.30497586404975974,-0.7127738123937658,linear,0.36556301190016843,1.9789236057836618e+21,0.48543982236561933,0.36556301190016843
7,0.815,1.0,1.911,2.106489560530247,1.0,3524203445.74689,91597624.12013374,Jackson,-0.28963133484891534,-0.6036477779043039,log,0.4658542989176201,3.9178473118942505e+21,0.45621871877291875,0.4658542989176201
8,0.815,1.0,1.911,0.8895879530086912,1.0,3830957358.632273,73838425.52156574,Selsis,-0.49351428762753247,-0.684261717733924,GP,0.2557133800300148,9.202074664247571e+20,0.9750545289821744,0.2557133800300148
9,0.815,1.0,1.911,2.3999581071871474,1.0,2839028175.8459983,8415740.198421432,Jackson,-0.34620487417783863,-0.6747859471582512,linear,0.23603869981039138,1.3312538368433484e+21,0.3483314107135319,0.23603869981039138
