# Column descriptions:
# stellar_mass: Stellar mass startpoint (0.1 means the stellar mass is sampled raging from 0.10-0.11)
# planet_mass: Planet mass (in Earth masses)
# insol: Median insolation normalized to S₀ (extracted from CS_insol_01_tb, species index 0, column index 1)
# insol_lower_99: Lower bound of insolation (from CS_insol_001_tb, species index 0, column index 1)
# insol_up_50: Upper bound of insolation (from CS_insol_05_tb, species index 0, column index 1)
stellar_mass,planet_mass,CS_insol,CS_insol_lower_99,CS_insol_up_50
0.1,0.1,0.05813826292424458,0.009221358440451013,0.3142013962849852
0.1,0.5,0.5084734925172252,0.06613310379222381,3.295978543427973
0.1,1.0,1.4084932816937326,0.16144842693285516,10.25062622845212
0.1,2.0,6.1270799697222325,0.8230758932619546,38.557463840734776
0.1,3.0,22.57830269709217,4.120143472579436,107.31110194230118
0.1,4.0,71.42224572926622,17.8517995375316,254.4446026589439
0.1,5.0,196.28803715334757,61.51128101998742,568.4079686326827
0.1,6.0,366.6920156636831,100.29079974215568,1202.882249360338
0.1,7.0,461.1683167339834,167.1094377394241,1169.0260391889249
0.1,8.0,525.856823264964,203.78139468604215,1253.4778002134403
0.1,9.0,568.200792129907,207.42772888567845,1430.5823220486927
0.1,10.0,685.808991013675,284.1645713661124,1537.5006346670054
0.11,0.1,0.07935399564465176,0.01366904983748452,0.39762823665331687
0.11,0.5,0.5972949434232119,0.0798274442133697,3.776423277575421
0.11,1.0,1.7083577372093903,0.2165361267935839,11.33852900042021
0.11,2.0,7.772183150801672,1.1095393510624145,46.258869992140085
0.11,3.0,29.452399470266528,5.842634355578436,129.67077692858635
0.11,4.0,91.28389561747592,25.51789468605084,293.507404658955
0.11,5.0,254.41557035355444,85.88682316872475,688.1656597067096
0.11,6.0,476.1302544073573,153.46550755542305,1343.6650685706218
0.11,7.0,626.9189420021273,255.22751635095298,1428.3476386812765
0.11,8.0,654.6653383527155,270.68159873031783,1470.554889711589
0.11,9.0,765.9774263327512,339.80663075399457,1613.0959472193188
0.11,10.0,854.6617020496518,375.45953121833725,1816.0593866707213
0.12,0.1,0.08550553403300071,0.014826051076533562,0.4258732767820908
0.12,0.5,0.7017541457616969,0.09915384498949333,4.216359043555936
0.12,1.0,1.8145245643854107,0.22027121353295345,12.529326548028402
0.12,2.0,8.449816957393187,1.1506325159044324,52.51618923070304
0.12,3.0,35.2364655057724,7.469593067781817,145.98517023002074
0.12,4.0,122.74049369294139,39.629786774394624,345.8333853518754
0.12,5.0,310.4052826655569,116.89560396929976,759.567075521594
0.12,6.0,607.025519877322,206.44384035179004,1630.8459630338773
0.12,7.0,700.7116138045634,269.681116417239,1680.8322575932157
0.12,8.0,820.5442094171722,363.2412216864274,1731.377340562982
0.12,9.0,903.7569514278615,412.66352535169847,1853.5990222917594
0.12,10.0,989.9208818867467,473.9737513718601,1943.9270980094448
0.13,0.1,0.10524192988719169,0.018395911538985912,0.5203154640275113
0.13,0.5,0.820692723540796,0.11403937532442748,5.006990368458419
0.13,1.0,2.2737174740439206,0.2805376871774802,15.467935946553972
0.13,2.0,10.59363415318125,1.6448183026157255,58.381600595277334
0.13,3.0,39.403028508809065,8.424874791951666,161.96785955389865
0.13,4.0,125.5346568038502,37.16260886438746,382.9832344766346
0.13,5.0,359.3568566077277,134.03514852853655,887.1351252278339
0.13,6.0,647.6563771259148,222.3261815643238,1725.196894402869
0.13,7.0,818.0835254990312,362.0843151179538,1726.480524145761
0.13,8.0,965.2148280692858,445.64447032775735,1959.6179025355343
0.13,9.0,1114.1749412627726,552.1044915241238,2120.1514720509203
0.13,10.0,1252.5515683692129,612.276676953538,2413.402957082332
0.14,0.1,0.12484773965756801,0.021842719844343696,0.6167341883058192
0.14,0.5,0.9616331865305798,0.13491174533617897,5.815515092176398
0.14,1.0,2.630810118726651,0.3529535572506941,16.57509280187676
0.14,2.0,12.577251901209738,1.9152838329368171,70.55653707677982
0.14,3.0,45.680651250887244,9.430726925928854,193.90040293281513
0.14,4.0,140.98414983162158,41.01414284418192,437.0502198616043
0.14,5.0,397.16603143744425,151.9173395683597,958.0963523663489
0.14,6.0,702.9800070295154,242.02170328253402,1867.572685121553
0.14,7.0,962.8312485219425,449.46320889647376,1935.1655689436145
0.14,8.0,1131.515297680795,568.7278482622885,2125.2724980126204
0.14,9.0,1312.521255743845,685.8335125277247,2379.0517444683796
0.14,10.0,1543.7977836372875,875.9713160961267,2594.751237841082
