# Column descriptions:
# stellar_mass: Stellar mass startpoint (0.1 means the stellar mass is sampled raging from 0.10-0.11)
# planet_mass: Planet mass (in Earth masses)
# insol: Median insolation normalized to S₀ (extracted from CS_insol_01_tb, species index 0, column index 1)
# insol_lower_99: Lower bound of insolation (from CS_insol_001_tb, species index 0, column index 1)
# insol_up_50: Upper bound of insolation (from CS_insol_05_tb, species index 0, column index 1)
stellar_mass,planet_mass,CS_insol,CS_insol_lower_99,CS_insol_up_50
0.1,0.1,0.007553255596231522,0.003064271415655174,0.01726443496969207
0.1,0.5,0.04089500349480277,0.018338123401462635,0.08527792585178134
0.1,1.0,0.21561038349775183,0.10220497171635126,0.42751767515619205
0.1,2.0,6.467064573927534,3.365432575538547,14.197425433650602
0.1,3.0,10.58294123908829,5.5896650012646125,2183.7913242655
0.1,4.0,18.51493852332327,9.481130386996002,100000.0
0.1,5.0,32.248650876916436,16.88071263531701,100000.0
0.1,6.0,59.438223074161456,21.177980800785374,100000.0
0.1,7.0,76.21110437657347,26.944731327658506,100000.0
0.1,8.0,105.8359786017876,22.59994683657404,100000.0
0.1,9.0,324.1305740666209,26.254568239027755,100000.0
0.1,10.0,1411.3708798227453,33.355415101553085,100000.0
0.11,0.1,0.010636473767738464,0.00528930564942174,0.02017466724413268
0.11,0.5,0.05501523804911624,0.028622402111288844,0.10011790092026238
0.11,1.0,0.29129533774425526,0.15886594638982696,0.5078743851613846
0.11,2.0,7.846573127531468,4.546033786618292,14.96240662829755
0.11,3.0,13.882418959593936,7.736203050315643,9292.825568911128
0.11,4.0,22.486584426651245,12.274358375271742,100000.0
0.11,5.0,38.75777576146462,18.713535353965927,100000.0
0.11,6.0,69.25388240771655,24.91614117620058,100000.0
0.11,7.0,101.3617414300158,29.284366664431246,100000.0
0.11,8.0,241.0999690056768,32.567995560896144,100000.0
0.11,9.0,566.4302589598618,31.560260517985903,100000.0
0.11,10.0,20547.49438151238,30.891931512727673,100000.0
0.12,0.1,0.012967442819745531,0.006818152218903495,0.023371029492673983
0.12,0.5,0.0686862147739801,0.03755509573560333,0.11943393261640955
0.12,1.0,0.3654327946336873,0.21207662328564006,0.6019365354236706
0.12,2.0,8.58445617965932,4.765042771141799,17.273395306144064
0.12,3.0,13.895634845925754,7.789350865939378,6610.716699291089
0.12,4.0,23.987111870475534,11.483517377460005,100000.0
0.12,5.0,39.07459355940273,19.611774253074113,100000.0
0.12,6.0,95.7064483433706,25.33140343910936,100000.0
0.12,7.0,100.772828419153,29.134598600494577,100000.0
0.12,8.0,267.91867436601945,33.58012757125202,100000.0
0.12,9.0,365.3092713204904,42.22278742953691,100000.0
0.12,10.0,9810.283516625066,46.77716215872702,100000.0
0.13,0.1,0.01692482858278578,0.00983658466992769,0.02782794067137128
0.13,0.5,0.08551973203337414,0.05068790473368143,0.13810773622996847
0.13,1.0,0.43915949893959516,0.2763154876690928,0.6717645666762498
0.13,2.0,10.031088707677352,5.704028934951536,19.840248408889092
0.13,3.0,15.208161530792808,8.814741296491803,26025.148472257475
0.13,4.0,26.03967138087458,12.54913874377556,100000.0
0.13,5.0,49.51512648928867,23.492621037985174,100000.0
0.13,6.0,132.74778105559412,35.25147191368582,100000.0
0.13,7.0,120.71802213748991,33.87546495250445,100000.0
0.13,8.0,427.37612121241295,36.22737712711891,100000.0
0.13,9.0,778.8071149511351,39.37694508770879,100000.0
0.13,10.0,6873.240006997836,51.203408806968355,100000.0
0.14,0.1,0.019685493285807154,0.011687841585921444,0.03174027850352367
0.14,0.5,0.0996867452690095,0.059423379974901075,0.16014554764045016
0.14,1.0,0.48149824298595306,0.2981509705813566,0.7472436119320581
0.14,2.0,11.396658128419597,6.387295344467901,22.43950880661251
0.14,3.0,17.843338736942282,8.46260198440718,14082.312497296885
0.14,4.0,29.385077865272375,14.68292635064382,100000.0
0.14,5.0,58.177862364851954,24.065306038362806,100000.0
0.14,6.0,118.26780548673705,35.73927723902673,100000.0
0.14,7.0,135.5155353887137,39.5304354140163,100000.0
0.14,8.0,213.33600803701069,38.04272937996034,100000.0
0.14,9.0,570.2443150061201,46.94597653766011,100000.0
0.14,10.0,4797.716176060853,47.8953095709386,100000.0
