# Column descriptions:
# stellar_mass: Stellar mass startpoint (0.1 means the stellar mass is sampled raging from 0.10-0.11)
# planet_mass: Planet mass (in Earth masses)
# insol: Median insolation normalized to S₀ (extracted from CS_insol_01_tb, species index 0, column index 1)
# insol_lower_99: Lower bound of insolation (from CS_insol_001_tb, species index 0, column index 1)
# insol_up_50: Upper bound of insolation (from CS_insol_05_tb, species index 0, column index 1)
stellar_mass,planet_mass,CS_insol,CS_insol_lower_99,CS_insol_up_50
0.1,0.1,0.020439316841678597,0.005887450099235487,0.06393959149165988
0.1,0.5,0.12511620014194771,0.03587211405261386,0.39306613952190156
0.1,1.0,0.2675063370531843,0.07211782887223482,0.8891677047611684
0.1,2.0,0.6517325105863443,0.19220073837842513,1.9952794911796465
0.1,3.0,0.9133393471197242,0.23940822067107675,3.1150307594985405
0.1,4.0,1.4434809021607407,0.42360068048634547,4.4392168617602055
0.1,5.0,1.8877671803321365,0.5280698848600338,6.066043138276319
0.1,6.0,2.2338684337500894,0.6014268909828338,7.434327678667905
0.1,7.0,2.92918326758487,0.829057664512316,9.311824518000867
0.1,8.0,3.566479069813804,1.029256370609761,11.13753330027135
0.1,9.0,3.93376239253259,1.1559074782369805,12.08319395347801
0.1,10.0,4.583516654436924,1.3431084202678887,14.114791878662887
0.11,0.1,0.026524442824247124,0.007936399113859035,0.08013377012300632
0.11,0.5,0.17315191009172717,0.05455509594133394,0.4989338095885338
0.11,1.0,0.3521141578940782,0.10591234793623591,1.0586641630036835
0.11,2.0,0.7635185104877201,0.22509086042285467,2.3382393527631247
0.11,3.0,1.3107280291969732,0.4077288705462052,3.821316468079246
0.11,4.0,1.8539129142609498,0.5756078789891096,5.414302045426835
0.11,5.0,2.4624607394145466,0.7505479191115872,7.314403225526242
0.11,6.0,3.0009465498764434,0.9007524508073785,9.040079527425382
0.11,7.0,3.6501952090221104,1.1025155727772267,10.932925274269154
0.11,8.0,4.225408008631199,1.2719683011801322,12.694853070683571
0.11,9.0,5.038035457046025,1.6305259984262808,14.164265183808729
0.11,10.0,5.603858738675907,1.7328256858319862,16.427139004716043
0.12,0.1,0.03004591769575017,0.009294419037330208,0.0880451216991908
0.12,0.5,0.20024917604516188,0.06392304049578781,0.5701419026982991
0.12,1.0,0.4294825613764746,0.1420699863034849,1.183538185937585
0.12,2.0,0.9466928595881839,0.30651375419402244,2.6606157919944855
0.12,3.0,1.5864873256469578,0.5093427940867584,4.493348190819342
0.12,4.0,2.294429287237838,0.7823121665777196,6.149830856836676
0.12,5.0,3.012871318572009,0.999182871881628,8.283281486285185
0.12,6.0,3.7033066049293493,1.2222984313245644,10.226205575639991
0.12,7.0,4.652225334755551,1.5570279272523733,12.683632672983125
0.12,8.0,5.144518316401713,1.6703196896118848,14.421331514042631
0.12,9.0,6.01021815822896,1.9478398724853352,16.87627050294842
0.12,10.0,7.419290023213074,2.5123081992761005,20.012210136336076
0.13,0.1,0.03892802897077658,0.013590622808942514,0.10210310669181426
0.13,0.5,0.2367531486388646,0.08119872954209414,0.6311744802517749
0.13,1.0,0.5371167195489943,0.18799781486430528,1.405499462712988
0.13,2.0,1.204468549681748,0.4123254654311168,3.216549400993282
0.13,3.0,1.8949096242844852,0.6475089451246292,5.068795723338767
0.13,4.0,2.672431887536725,0.9290333671780517,7.036885008213518
0.13,5.0,3.472711891297927,1.1619734430413413,9.470018434869223
0.13,6.0,4.290517696348334,1.4442255065671785,11.636203509066288
0.13,7.0,5.135619320587989,1.6563838502815327,14.484336555387324
