,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,0.7,2790.1018915516684,10098.693216238718,0.33055351237221414,0.003707691194877123,2239680128.3806934,88002403.9833981,Jackson,-0.32097918864495256,-0.635929747235967,GP,0.08309459513665743,9.432235281839836e+23,0.6072050094700626,0.08309459513665743
1,0.7,332.9097356967928,2.046873054371973,0.33055351237221414,0.2870779705467295,12143936573.30989,6155476.094449998,Jackson,-0.3542314634424283,-0.7304121123400618,GP,0.445768648929158,7.795754729560502e+21,0.7216773923140104,0.445768648929158
2,0.7,680.9524934912301,35.83044343856721,0.33055351237221414,0.06630926132873298,8719592422.223642,3634485.8930758457,Jackson,-0.3624219348595444,-0.7506739586210068,linear,0.14934465681522469,3.4473330608079864e+23,0.274688639733098,0.14934465681522469
3,0.7,3381.9605955159263,21800.13071520837,0.33055351237221414,0.002597820083072033,5667321818.926198,63497248.11838682,Selsis,-0.39169694643132325,-0.7481496353993191,log,0.217720914701483,6.652840548949324e+23,0.039890191347323856,0.217720914701483
4,0.7,412.04016527456145,4.80333786492343,0.33055351237221414,0.17591265709690734,6077489610.942669,4605866.011646686,Selsis,-0.49727165137456797,-0.624549059337052,linear,0.06407785584091474,3.557161602034384e+22,0.646714348271867,0.06407785584091474
5,0.7,474.58301412703025,8.453444117646422,0.33055351237221414,0.13354521244883757,6692515237.087136,47054938.79377572,Jackson,-0.4160749598806867,-0.6114560324817989,GP,0.08188077812289428,6.3901298385307e+22,0.08192385137275782,0.08188077812289428
6,0.7,746.6493866754529,51.79069938160143,0.33055351237221414,0.05252514112617155,4502721642.484063,5162730.42800099,Jackson,-0.444307498318691,-0.7494179019851843,linear,0.0640649153611666,3.121869583434074e+23,0.32284259659986314,0.0640649153611666
7,0.7,512.9757709750297,11.539110613292953,0.33055351237221414,0.11749488041534262,9200287503.978373,4904798.98959013,Selsis,-0.3601418782820925,-0.7042415761287549,log,0.08777692374113177,9.547262731898586e+22,0.14197144148932117,0.08777692374113177
8,0.7,400.15362596738424,4.272597197992598,0.33055351237221414,0.19902157101151288,12335335958.486546,1623178.055693256,Selsis,-0.49216579690307305,-0.6436700847428176,GP,0.08565355323964022,2.6339114997412402e+22,0.8180282343107521,0.08565355323964022
9,0.7,156.01605451664372,0.09873294434079866,0.33055351237221414,1.2694915042217259,9150275909.78705,27550691.89996266,Jackson,-0.3781428973119293,-0.7538440731462865,log,0.39204534713578904,1587378310205077.0,0.7720423224602815,0.39204534713578904
10,0.7,1253.5136040005177,411.43490319392004,0.33055351237221414,0.01852208299576868,3205724204.1739655,29118572.660188403,Selsis,-0.4530877912736258,-0.753117416251913,log,0.10869662645295582,1.37882729126524e+24,0.8734741408735994,0.10869662645295582
11,0.7,104.27754980197194,0.01970371863338996,0.33055351237221414,2.7069514331568163,4980884435.563325,77401511.95640439,Selsis,-0.3668597811533433,-0.663965934479505,linear,0.14260767583493067,853218994487853.2,0.8417672829414328,0.14260767583493067
12,0.7,1395.5008145907493,631.982863502331,0.33055351237221414,0.01563009215718696,7869179186.466313,9160667.782321418,Jackson,-0.38114929849487933,-0.7636882326936754,GP,0.32561649433067624,2.807278669849052e+24,0.6098053546090503,0.32561649433067624
13,0.7,598.3696369929152,21.3630431277118,0.33055351237221414,0.08128470482037603,3358628435.2053084,5268251.140002138,Jackson,-0.3065402993519025,-0.7910693725912795,GP,0.2574266147716966,2.334718760115001e+23,0.2172075025066741,0.2574266147716966
14,0.7,2171.5848851106193,3705.8869406308995,0.33055351237221414,0.006062033425098234,1361128796.6375186,23505282.201746143,Jackson,-0.36695247555245847,-0.7082733606269151,linear,0.09506006636087123,2.829317710794179e+23,0.29071543120816956,0.09506006636087123
15,0.7,112.2115736692344,0.026420165700092674,0.33055351237221414,2.329279624605263,4644836254.171785,2090931.209892862,Selsis,-0.49604890473008206,-0.6240425790212124,GP,0.2860083134525196,807849962533749.2,0.9625564797461119,0.2860083134525196
16,0.7,209.1336754033086,0.31877246811941884,0.33055351237221414,0.7168384484066738,10531633595.54583,57439186.84444175,Selsis,-0.4372636639908912,-0.6368362349074554,log,0.37631103381335446,1822537522959036.8,0.7347723715973533,0.37631103381335446
17,0.7,103.61230027600176,0.019205702045502406,0.33055351237221414,2.710973660733418,3741710049.8133492,5347851.716452443,Selsis,-0.4397281363006409,-0.706765647819402,log,0.13424515602430298,650136902150699.8,0.0023997345256806524,0.13424515602430298
18,0.7,1126.5692623345617,268.4210158040642,0.33055351237221414,0.022603819946692402,1681724150.310349,34245904.27606821,Selsis,-0.3461195220479741,-0.6812889118350113,GP,0.08774155391453878,7.468207403067753e+23,0.6276510734592464,0.08774155391453878
19,0.7,701.5716968754344,40.37134010673215,0.33055351237221414,0.05938375395865486,4346952887.58864,1647032.031309976,Selsis,-0.3804087227303885,-0.7698797434316468,linear,0.4705762241592786,4.11224112295027e+23,0.7764427342437314,0.4705762241592786
20,0.7,658.930068547054,31.415373581964733,0.33055351237221414,0.0732635677129951,12120615374.984629,9747958.569169458,Selsis,-0.44176614120253377,-0.6087420169348617,GP,0.10815952827767615,3.173865065969514e+23,0.9161640699424006,0.10815952827767615
21,0.7,4292.7611988732015,56588.97720338271,0.33055351237221414,0.0016260531527089073,6356395750.258361,89130324.99237671,Selsis,-0.33892344549180264,-0.6235803448029351,GP,0.12832036465504185,2.438433698862484e+24,0.555400471477216,0.12832036465504185
22,0.7,4251.32425676017,54435.45381461255,0.33055351237221414,0.0016245575590687024,4746814835.541256,27422711.66512199,Jackson,-0.40307305198380816,-0.7771593493915334,linear,0.21528260599148097,4.971769049531445e+24,0.9879924908116565,0.21528260599148097
23,0.7,4522.287264323895,69697.54957010369,0.33055351237221414,0.0014053408488457113,1879054132.903415,8359952.125266128,Selsis,-0.2952648727422381,-0.7557602739187432,log,0.14057916696496928,8.195693214317322e+23,0.6069505058056969,0.14057916696496928
24,0.7,1906.8196580729339,2203.0451980756106,0.33055351237221414,0.008624188432757834,10547684312.005178,6298719.609538192,Selsis,-0.3559870442677296,-0.7982810162753115,GP,0.059141133264744385,1.6926728898605857e+24,0.1710429466790736,0.059141133264744385
25,0.7,1135.3068422504502,276.84580433738995,0.33055351237221414,0.024885452509370912,13136025972.257795,4437833.6107398495,Jackson,-0.3086400624927672,-0.7516757534747692,linear,0.10186140828630594,2.526946708739364e+24,0.43709312071088136,0.10186140828630594
26,0.7,320.59499479308016,1.7604020922696548,0.33055351237221414,0.2823156314088878,2699940126.160725,6463551.493839841,Jackson,-0.44134297571089826,-0.6875055068910997,log,0.11731725780177425,5.666316931425607e+21,0.5630966260445417,0.11731725780177425
27,0.7,111.46157625956525,0.025720869550175746,0.33055351237221414,2.342596921337682,3314904511.055733,4306057.162094731,Jackson,-0.3357505209366538,-0.7249465772533304,GP,0.14958718653553343,576052884855647.6,0.46475579502963327,0.14958718653553343
28,0.7,3964.387172213642,41161.30863871668,0.33055351237221414,0.0018448147267399568,2625765767.706622,5142847.857007669,Selsis,-0.3757795901674182,-0.7041575609312943,GP,0.07049819523680656,1.6858242769326838e+24,0.7737753764335311,0.07049819523680656
29,0.7,242.16535717413817,0.5731034027239652,0.33055351237221414,0.524718134093854,8786446620.359222,1813462.7965751002,Selsis,-0.35281329929651306,-0.6204856841483708,linear,0.057846204050425905,2.7986032595813076e+21,0.38003991761426337,0.057846204050425905
30,0.7,249.1525812277378,0.6421647883809698,0.33055351237221414,0.4633083224637247,1959642967.6452572,29360675.65255748,Jackson,-0.39149971354363794,-0.7267915504877679,GP,0.367364024725778,335874222855506.25,0.8128829664533754,0.367364024725778
31,0.7,166.95781242223845,0.1294827480203498,0.33055351237221414,1.0499742981406297,4461019034.014779,16879066.945239544,Jackson,-0.2865910988394833,-0.7537517973888502,GP,0.269195592074867,773292105456574.4,0.7842026251515598,0.269195592074867
32,0.7,2037.6494367852156,2872.7828548241405,0.33055351237221414,0.0069658195416858765,2406807125.4958963,9475234.664576545,Selsis,-0.42930841632661704,-0.7487695108574965,linear,0.3022915111819254,2.4362048569176997e+24,0.9723532497958477,0.3022915111819254
33,0.7,275.87563783924713,0.9652467013853772,0.33055351237221414,0.40687936945931735,9340896858.107847,7213825.887283165,Jackson,-0.42704683068676125,-0.6062030992717238,GP,0.2598903745801616,2.0729010607777584e+21,0.8066025076147906,0.2598903745801616
34,0.7,3530.7848663025743,25898.222086515554,0.33055351237221414,0.002360241654316069,4944756858.085603,4865717.486078357,Selsis,-0.4610809341184782,-0.7509483764593247,GP,0.06558307432722386,6.382981803436591e+23,0.0766738355746196,0.06558307432722386
35,0.7,1597.9371669261475,1086.4849580420555,0.33055351237221414,0.011203343586611092,1417967565.2115939,98985386.48722409,Selsis,-0.3635006989732049,-0.6658929086936912,linear,0.05056345563545339,3.2081434618108884e+23,0.35138246096257164,0.05056345563545339
36,0.7,677.0984805439005,35.026140212980934,0.33055351237221414,0.06348107179672396,3955420719.3666577,3726536.6683279285,Jackson,-0.37050155831367954,-0.6323532129846092,GP,0.21555432783933032,4.043034521663835e+23,0.9147372697603751,0.21555432783933032
37,0.7,540.6490578208077,14.237925854664677,0.33055351237221414,0.10609235011818287,9471574910.72226,9537385.24192389,Selsis,-0.28117730368861016,-0.6368014917798454,log,0.2311570026796702,2.7201659293026993e+23,0.6509706308386206,0.2311570026796702
