,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
0,0.3,389.0973228686513,3.819600098397182,153.0846299741128,0.05329353341060703,4541135008.968802,12049254.90109233,Selsis,-0.4813774216517412,-0.7599043709698642,GP,0.2967778758072876,1.990070242743441e+21,0.25988899120557407,0.2967778758072876
1,0.3,3614.027861278816,28428.301334228014,153.0846299741128,0.000609645377735212,2373685798.0735,70369095.18010426,Selsis,-0.2817985253668367,-0.6749035700107865,log,0.34012303736747934,1.296128832400317e+25,0.7971976367283037,0.34012303736747934
2,0.3,1763.9329361007913,1613.2928266806741,153.0846299741128,0.002632944319086182,7602539259.6517935,1270311.5777577844,Jackson,-0.4327308013002995,-0.7197385966947756,GP,0.08855319168830464,4.0765618654925664e+23,0.3517152152378542,0.08855319168830464
3,0.3,255.3109418435425,0.7080478949407613,153.0846299741128,0.12493346142637878,5960718281.89687,7391046.083952161,Jackson,-0.3238732991587267,-0.6212653333857338,linear,0.07234434651659624,9.267275857264493e+21,0.11683740463904158,0.07234434651659624
4,0.3,93.87927884200273,0.012943862897035972,153.0846299741128,0.9095120126004164,3701762207.840125,9839496.746823266,Selsis,-0.4861783816292778,-0.7288339566503309,log,0.4535442200169448,2.629968278490578e+16,0.6213886980169356,0.4535442200169448
5,0.3,2969.561616132107,12958.48674882338,153.0846299741128,0.0008899720317596875,1119319830.0407553,25516647.360123917,Selsis,-0.4988024154941268,-0.6424113303972658,linear,0.058968379189304254,6.940795519828497e+25,0.22874454142972533,0.058968379189304254
6,0.3,195.56531995137027,0.2437543059879813,153.0846299741128,0.21234763811749066,5331637434.502552,10077830.366208892,Selsis,-0.4251762855538873,-0.7652841439078507,log,0.13348333518974867,6.676232529141469e+19,0.5495852441209343,0.13348333518974867
7,0.3,3950.6940048902184,40595.55642202811,153.0846299741128,0.0005234158330707654,6783799350.125525,26197563.527195606,Jackson,-0.4443096722665459,-0.794614752061451,log,0.17114341174808398,6.937009083302135e+24,0.6267286361340673,0.17114341174808398
8,0.3,398.8964566237746,4.219156540998325,153.0846299741128,0.051549869720659974,9436079486.235277,7948370.010988483,Selsis,-0.44581604811828934,-0.7321976995825342,linear,0.13804807040319977,6.000857039704134e+22,0.9917370821058508,0.13804807040319977
9,0.3,869.8654160245364,95.40984346306496,153.0846299741128,0.01050795631200557,2254020432.703082,6323923.723705882,Selsis,-0.42173987628248555,-0.6645231257569777,GP,0.05170389648958097,4.0810779775554376e+22,0.6355596656594974,0.05170389648958097
10,0.3,2583.5725900609864,7424.506611612587,153.0846299741128,0.0012008993020533793,3108771754.8596272,31179430.69068846,Selsis,-0.4060496270759274,-0.6870022518601413,log,0.0942295342167822,2.807672204973946e+24,0.7427275924449236,0.0942295342167822
11,0.3,423.1268542546554,5.3415498023625,153.0846299741128,0.0450339071944606,4478702723.950305,66722766.106877185,Jackson,-0.38456841524655977,-0.6723242284257521,linear,0.15630358843741338,4.047120195347474e+22,0.6255098026285847,0.15630358843741338
12,0.3,116.07236701249012,0.030248252427738008,153.0846299741128,0.597617442203253,4360394014.279334,12846171.16964746,Selsis,-0.297414916519141,-0.7019591543543121,linear,0.28771752936878286,2.0732645063999826e+20,0.15141989198452233,0.28771752936878286
13,0.3,362.69972399857863,2.8838576900329036,153.0846299741128,0.06165525744820724,5055121273.399585,1818621.4158706425,Jackson,-0.38581628586344596,-0.6264010840148974,log,0.17474843570309295,1.6246701497947078e+21,0.7026041538324762,0.17474843570309295
14,0.3,2698.6735317566936,8838.657867909626,153.0846299741128,0.0010951175410757429,2512561712.1222653,1576685.7064468567,Jackson,-0.3121739476198706,-0.6909446259696483,GP,0.0974522378493317,3.2326906421583043e+24,0.1603236028242322,0.0974522378493317
15,0.3,318.61048006271386,1.7172168957136102,153.0846299741128,0.07894972142031732,2981274319.6017184,33197517.96107792,Selsis,-0.2882607021610729,-0.6881054954898577,GP,0.24586669389007734,2.1409477604304673e+21,0.585755610478121,0.24586669389007734
