,st_mass,pl_masse,pl_rade,pl_insol,stellar_age,formation_time,xray_model,euv_gamma1,euv_gamma2,CO2_fit,f_initial,pl_orbsmax,pl_XUV_flux,pl_teq,atmospheric_loss,m_atm_final,pl_psurf_lower_initial,pl_psurf_upper_initial,pl_rade_transit_lower_initial,pl_rade_transit_upper_initial,pl_rho_ratio_lower_initial,pl_rho_ratio_upper_initial,pl_psurf_lower,pl_psurf_upper,pl_rade_transit_lower,pl_rade_transit_upper,pl_rho_ratio_lower,pl_rho_ratio_upper
0,0.5592090679660532,3.7345174982774996,1.4318901701643194,549.000156847268,3247977194.4954257,3694305.9800882842,Jackson,-0.3605449930544824,-0.6967463097140179,GP,0.00020494620618502187,0.009856325019091578,9215.19731043044,1347.2459473755846,6.3160863486601725e+22,0.0,272556721.4160171,78917567.47067855,1.4667228055321422,1.4808153478524788,0.93043275071485,0.9041206781042584,0.0,0.0,1.4318901701643194,1.4318901701643194,1.0,1.0
1,0.6683425883036596,4.4226644931448735,1.4965885290088843,287.96066071961883,7282560819.539923,26728340.130906716,Jackson,-0.4772344691062251,-0.7496142243169691,log,0.0006282054101728538,0.02051158997517646,2182.3571400376222,1146.5343194533891,1.140529135170328e+22,5.186965650799426e+21,1008725731.8145896,190995150.23151195,1.5285334782126576,1.5392320996789184,0.9386039356738509,0.9191680103478436,317866064.23096037,114891582.1710399,1.5246642262945742,1.5367427409731265,0.9457679772318087,0.9236421113843153
2,0.40107786441914606,9.758952400032511,1.8207002152783027,43.64164040118546,3474663980.675194,37250330.02802165,Selsis,-0.3894957657006554,-0.7043139517015486,linear,0.0002438883319887634,0.02120560612445285,1345.6238456256738,715.3672193520308,3.371455449420488e+21,1.0842469637951077e+22,889274583.0385343,789264101.1201365,1.8345179828228295,1.842501847804335,0.977573478900002,0.964920502777609,678344131.3450664,629291782.7653017,1.8341172493020848,1.8418917374107238,0.9782143845898613,0.9658796846475286
3,0.8619073408309285,0.537486584812706,0.8359346144815516,26.2883792921222,3699639618.9788213,1105756.605457149,Selsis,-0.444456379011816,-0.6635356944836366,log,0.0004429011088563994,0.12352730260235976,54.343220499004154,630.2236865088764,4.555215544715176e+21,0.0,110241476.47285387,110241476.47285387,0.8742795079907039,0.8981009487388127,0.8741098802514738,0.8063831815202349,0.0,0.0,0.8359346144815516,0.8359346144815516,1.0,1.0
4,0.8958079772889435,3.1076404022377266,1.3642168361801965,8062.279891357399,4559923488.762718,14939148.485124739,Selsis,-0.36531169934358443,-0.721180263835226,linear,0.004244027995287932,0.007983288146893057,10670.246195513975,2637.352842842217,1.0339471134151387e+24,0.0,767459866.7778001,767459866.7778001,1.44760081898687,1.5042349358137361,0.8369581727117071,0.7459388078343249,0.0,0.0,1.3642168361801965,1.3642168361801965,1.0,1.0
5,0.33307851676285816,2.75794604270018,1.3230698279412987,17.618791192903018,4427732368.169925,87419321.48027976,Selsis,-0.44896944745836326,-0.7073108118980862,GP,0.00013559974117293845,0.027364817916664338,560.6311058395938,570.2270246596563,4.883368111710555e+21,0.0,141609229.40444598,141609229.40444598,1.3403239572298082,1.3503041784680263,0.9618757060168998,0.9407050213434311,0.0,0.0,1.323069827941299,1.323069827941299,0.9999999999999997,0.9999999999999997
6,0.5831122800536197,5.366135312299602,1.5724739421358402,12.481965047336818,4067925868.4076114,35544717.79049197,Selsis,-0.47434604471709885,-0.6188106388112125,GP,0.00013583587332271197,0.07110101504634167,115.5765085907003,523.1479276367448,1.0225390287061702e+21,3.330533447435797e+21,269151075.8107309,269151075.8107309,1.5850894337984642,1.592229058782205,0.9763129708555645,0.9632382833431864,205927345.6424143,205927345.6424143,1.5846665657531633,1.5915562034866597,0.9770947663683063,0.9644604720787351
7,0.28517489757783016,6.764261760814444,1.6655635154296857,13.705863764855225,7052901715.72387,1627717.4258742316,Jackson,-0.37409871159756175,-0.6670348920737714,log,0.00023446498339953816,0.02682385169968925,175.41765428793352,535.525766401762,1.6113854369960026e+21,7.860102181160069e+21,586497597.5026147,581052759.397106,1.6781070462690497,1.6853443529608974,0.97774277158014,0.9652007400807006,486716683.9281486,484523341.05229014,1.6778405252194148,1.6848825116572412,0.97820878206562,0.965994668023291
8,0.6028757633153347,1.9547754815657052,1.2038059861934864,592.3482684453741,3290390569.6137757,75423917.15562347,Selsis,-0.30988862241891835,-0.7071278438161016,GP,0.00034961831888562103,0.011030250528266207,6402.746099495163,1373.0869815752633,1.1796714429551686e+23,0.0,250297664.3496646,102902422.50151837,1.2519142046307714,1.2747740552732634,0.889090141201593,0.842111984412696,0.0,0.0,1.2038059861934864,1.2038059861934864,1.0,1.0
9,0.7772182971566688,2.4882836190512645,1.2854586255237586,32.12332623583736,1482366275.2285933,46123986.97697407,Jackson,-0.4188170791878431,-0.6297777824662978,GP,0.00035563594778106254,0.08292279973703734,197.79070256338494,662.611388292021,9.665819957827346e+20,4.3181787765837356e+21,339285448.7737667,331167773.2756807,1.308416578190643,1.3218395418833495,0.9482791325263747,0.919682854925685,277230188.3103993,272413319.9156833,1.3078551942179002,1.3209465550963257,0.9495007752139898,0.9215492891533225
10,0.9693026834410714,2.7314390411042786,1.3193727603669025,1209.2412631528255,5029094529.47784,1510605.5062942484,Jackson,-0.45893176214157255,-0.7248922049754546,log,0.000610837377446447,0.026409285239134373,2095.8779771125683,1641.2774714478217,1.1990550161376657e+22,0.0,235359613.6920335,172629871.98543572,1.367707324573868,1.3959707630130163,0.897683044161696,0.8442548662083011,0.0,0.0,1.3193727603669025,1.3193727603669025,1.0,1.0
11,0.8432566286814802,0.7917162324360125,0.9336362986154109,60.20224476801346,4084332732.8399963,2296943.594038994,Selsis,-0.4415523413034288,-0.7121788162369275,GP,0.007160777826241567,0.07758747973433401,121.90683813415896,775.2770714170955,3.8946600373830623e+21,2.996242370086352e+22,2485310279.6325073,958980076.9992594,0.9895687529476138,1.0172203880021151,0.8398375035744851,0.7731931829398565,2199419188.083837,922369939.9346148,0.9888772147258709,1.0167853002961418,0.8416006728598735,0.7741861678470234
12,0.49874490887888756,0.9183648960531834,0.9747185417294809,166.1592748882331,1523389443.2702205,38139221.5078512,Selsis,-0.28675717161744696,-0.7019959747312019,GP,0.000277320812061992,0.014492473382998671,8906.897608601153,999.2747549766704,6.551285283870051e+22,0.0,109015520.67712387,97377561.19734934,1.0202523981427343,1.048910460113284,0.8719966368008248,0.8024582264411679,0.0,0.0,0.9747185417294809,0.9747185417294809,1.0,1.0
