,st_mass,pl_masse,pl_rade,pl_insol,stellar_age,formation_time,xray_model,euv_gamma1,euv_gamma2,CO2_fit,f_initial,pl_orbsmax,pl_XUV_flux,pl_teq,atmospheric_loss,m_atm_final,pl_psurf_lower_initial,pl_psurf_upper_initial,pl_rade_transit_lower_initial,pl_rade_transit_upper_initial,pl_rho_ratio_lower_initial,pl_rho_ratio_upper_initial,pl_psurf_lower,pl_psurf_upper,pl_rade_transit_lower,pl_rade_transit_upper,pl_rho_ratio_lower,pl_rho_ratio_upper
0,0.5073787845875938,5.966237649138365,1.6752746093585977,279.20954515181745,663471351.9178404,11753289.454904215,Jackson,-0.32804015980768403,-0.6201848784410887,linear,0.0006439388177823313,0.011422602656460664,21141.408436058973,1137.7224662050828,8.958138283302317e+21,1.3985640850550197e+22,1203396522.618327,205732076.84360036,1.705174239770119,1.7147510085822153,0.8486025130584592,0.8344636091910919,735833242.7360938,165516860.67015067,1.703661490110237,1.7137473768524552,0.8508650459219641,0.835930543108708
1,0.14563311228291156,7.794416462902144,1.4004977248983683,89.17406468067195,6358249984.461838,10903674.015311481,Jackson,-0.3920151890426475,-0.690737789334374,GP,0.00042633123204593326,0.005230038545444023,3811.070865456053,855.2900298270739,1.3442987717824025e+22,6.401987235561205e+21,2832545946.7669897,528787887.0823022,1.4139074347617522,1.418509744042976,1.8181437280105015,1.8005043556759985,913779082.0063264,382865951.663385,1.412469552186634,1.4178128151782015,1.823701949207416,1.8031607861060621
2,0.8162130510610245,3.4422632276680054,1.4044583153141936,77.88875009493995,2370499826.839577,2141407.0645790645,Selsis,-0.2820374133539415,-0.7228456076615078,GP,0.0012851658223268765,0.06092676313476978,364.53682474243385,826.841854556436,6.468806259120247e+21,1.9950599437342634e+22,1646660767.5254846,651052647.824399,1.4329024308846854,1.445948362851986,0.9389652101571792,0.9137786528545148,1243474957.7461708,608228560.128459,1.4320947351321296,1.4455963969690782,0.9405548243232481,0.9144462608190319
3,0.5363684066500269,6.033603596686995,1.4050632831175571,3125.7576055288378,7597766615.674927,18764089.733142722,Selsis,-0.30152551561856433,-0.6101657230503404,GP,0.00028855428481377207,0.0038769857562400262,17863.63565197209,2081.098292491569,3.09847723397775e+23,0.0,117343507.51741128,117343507.51741128,1.433113173273137,1.4512967570094923,1.4419807395081108,1.3884564086487832,0.0,0.0,1.4050632831175571,1.4050632831175571,1.530076936064616,1.530076936064616
4,0.517132904206699,4.229719426803713,1.5364857441574633,1559.6928340979694,1951824989.6248245,3621671.2154516038,Selsis,-0.4556581303077506,-0.7243740507348938,GP,0.000616709261246163,0.005045629988939704,53554.64635019795,1749.095562420407,1.8457679849016286e+23,0.0,191170965.6592812,182817365.01420948,1.5799642129798364,1.607443247972656,0.8229627689141422,0.7814748250908273,0.0,0.0,1.5364857441574633,1.5364857441574633,0.8948213401919284,0.8948213401919284
5,0.32824075448719015,2.8601559764256965,1.2219090174818774,1869.3631330939065,2317696508.7101293,7439740.496147357,Selsis,-0.34118150682928794,-0.6523969273706458,linear,0.002370770615504155,0.002591939338114145,150003.75971419405,1830.1099706144755,2.704237443911382e+24,0.0,512433000.34464055,512433000.34464055,1.2699949295842734,1.3011745223663294,1.1622272232658986,1.080663173650834,0.0,0.0,1.2219090174818774,1.2219090174818774,1.3049095078476425,1.3049095078476425
6,0.8191632169936024,8.107384027993932,1.4087061587838607,313.5270860150245,4772074477.351277,38184928.65159813,Selsis,-0.4614063329426907,-0.6955511647224107,linear,0.000468680717799831,0.03180821449156349,606.483031195825,1171.1770007942907,2.732728419109866e+21,1.995952528736449e+22,3021864426.646959,187993591.67083582,1.4260670971326224,1.4294096754155317,1.820470276423932,1.8077289760957422,2668599275.0398703,177860222.66525757,1.4258651328805765,1.4292757892671286,1.8212439582884612,1.808237035935053
7,0.11467647346507986,3.598780761278047,1.3584636835804558,3466.109896947776,6058091927.548392,15185507.66807536,Jackson,-0.3531223377185186,-0.642619199322223,log,0.00021294964597006684,0.0006198578203078542,265472.1337763875,2135.572652831091,1.4099162200922503e+24,0.0,83543224.50439104,83543224.50439104,1.4020498084722852,1.4314846697015164,1.035691010677757,0.9731066265026588,0.0,0.0,1.3584636835804558,1.3584636835804558,1.13861378092828,1.13861378092828
8,0.7167585907237027,2.615025301810438,1.354112978712692,141.58489280666362,4615576103.771879,63672767.087683015,Selsis,-0.34362861165172276,-0.6382804494454746,linear,0.0005900952943742739,0.03369364607735185,507.1366373230756,960.0812713390128,1.1964068584266806e+23,0.0,504947899.86561143,269830161.8549716,1.3893242613640053,1.4068375011922334,0.8251982670486372,0.7947624811800028,0.0,0.0,1.354112978712692,1.354112978712692,0.8912601000497623,0.8912601000497623
9,0.905080911480673,2.6553852290799376,1.1755677167668699,99.44345843438307,2946523791.2596035,4207324.355358938,Selsis,-0.38509741666741915,-0.663187407735655,linear,0.000779118120798371,0.07126204282135505,211.3403107239251,878.916917046842,2.3795406992470876e+22,0.0,1210207952.2782414,445392153.2491343,1.202029450954998,1.213678987167248,1.2907431696547513,1.253931066098364,0.0,0.0,1.1755677167668699,1.1755677167668699,1.3798828206180875,1.3798828206180875
