#https://doi.org/10.3847/1538-3881/ace782
#Figure 8 from Swastik et al 2023
# binned at 1.25 Gyrs
# First column is the start of a bin
age,pdf
0, 0.026019828248679988
1.25, 0.16190586110875732
2.5, 0.17226996338815853
3.75, 0.11961304819146851
5, 0.07112500328717647
6.25, 0.07888566177437403
7.5, 0.04133295737773893
8.75, 0.05846864325807402
10, 0.0334159753856223
11.25, 0.016175830340785236
12.5, 0.01872740979257187
