#https://arxiv.org/pdf/2301.12109
#Figure 8 from Gaidos et al 2022
# binned at 0.2 Gyrs
# First column is the start of a bin
age,pdf
0.008822055137844842, 0.14133333333333334
0.20130325814536354, 0.1386666666666667
0.409423558897243, 0.12266666666666667
0.5841604010025061, 0.08466666666666667
0.7931829573934834, 0.07466666666666666
1.008320802005012, 0.10533333333333333
1.2237593984962398, 0.138
1.4061152882205512, 0.15066666666666667
1.6153383458646617, 0.14200000000000002
1.792781954887218, 0.122
2.00110275689223, 0.10733333333333334
2.2103258145363407, 0.09866666666666668
2.4214536340852124, 0.10266666666666668
2.604912280701754, 0.12266666666666667
2.819949874686716, 0.15266666666666667
3.005413533834586, 0.186
3.220050125313283, 0.21333333333333335
3.403308270676691, 0.232
3.644411027568921, 0.23533333333333337
3.822556390977444, 0.22000000000000003
4.03047619047619, 0.2026666666666667
4.23829573934837, 0.18466666666666667
4.417142857142857, 0.17400000000000002
4.626666666666666, 0.16733333333333333
4.8061152882205525, 0.16066666666666668
5.015739348370928, 0.15466666666666667
5.2247619047619045, 0.14466666666666667
5.4332832080200495, 0.13133333333333333
5.6118295739348385, 0.11866666666666667
5.81984962406015, 0.10200000000000001
5.9982957393483725, 0.08866666666666667
6.206616541353383, 0.07400000000000001
6.415538847117795, 0.06333333333333332
6.59438596491228, 0.05266666666666667
6.833784461152882, 0.04466666666666666
7.013433583959899, 0.03933333333333333
7.193182957393485, 0.03466666666666668
7.402907268170426, 0.029333333333333322
7.612932330827069, 0.025999999999999995
7.792781954887219, 0.021999999999999992
8.002907268170425, 0.01933333333333334
8.212932330827066, 0.016000000000000014
8.392982456140352, 0.013333333333333308
8.60310776942356, 0.010666666666666658
8.813333333333333, 0.008666666666666656
8.993483709273182, 0.006666666666666654
9.203809523809525, 0.005333333333333301
9.414135338345865, 0.0040000000000000036
9.59438596491228, 0.0026666666666666505
9.804912280701753, 0.0026666666666666505
10.015238095238097, 0.001333333333333353
10.195588972431079, 0.0006666666666666488
