#https://iopscience.iop.org/article/10.3847/1538-3881/aba18a/meta#ajaba18as3
#Figure 1 from Berger et al 2020
# binned at -
# First column is the start of a bin
age,pdf
0.22095959595959558, 21.933202456458247
0.574494949494949, 57.82366857948256
0.9280303030303032, 101.1892177589852
1.3036616161616155, 118.64177489177489
1.6571969696969693, 144.06712473572938
2.010732323232323, 143.08051444679353
2.3863636363636362, 164.51978254303836
2.739898989898989, 166.52320547669385
3.1155303030303023, 145.6036695862277
3.4911616161616164, 122.19243934360213
3.8667929292929286, 135.1599466425048
4.220328282828282, 132.17998087184134
4.573863636363635, 102.78805496828753
4.92739898989899, 105.28981677237492
5.303030303030303, 72.90848686197523
5.678661616161616, 73.41752240008054
6.032196969696969, 60.9691180912111
6.3857323232323235, 54.99911909795628
6.761363636363637, 63.97991543340379
7.11489898989899, 50.036494513238665
7.490530303030303, 45.06380247659314
7.844065656565656, 42.08383670592974
8.219696969696969, 34.12111144669285
8.551136363636362, 21.173739051646038
8.926767676767676, 29.15785764622973
9.30239898989899, 26.178521091311808
9.655934343434343, 21.205199838920777
10.031565656565657, 16.730846672707145
10.38510101010101, 15.744236383771238
10.738636363636363, 11.767592872244052
11.114267676767675, 8.788256317326073
11.467803030303028, 6.804968287526435
11.821338383838384, 8.310052350749999
12.196969696969695, 7.8224101479915475
12.594696969696969, 6.3387194201147565
12.926136363636362, 1.863107822410143
13.279671717171718, 1.8731752743380525
13.611111111111109, 1.8826135105204855
