           t           p         gam
   1.6000E+03  1.0000E+01  1.1622E+00
   1.8000E+03  1.0000E+01  1.1545E+00
   2.0000E+03  1.0000E+01  1.1434E+00
   2.2000E+03  1.0000E+01  1.1304E+00
   2.4000E+03  1.0000E+01  1.1190E+00
   2.6000E+03  1.0000E+01  1.1119E+00
   2.8000E+03  1.0000E+01  1.1093E+00
   3.0000E+03  1.0000E+01  1.1105E+00
   3.2000E+03  1.0000E+01  1.1148E+00
   3.4000E+03  1.0000E+01  1.1212E+00
   3.6000E+03  1.0000E+01  1.1292E+00
   3.8000E+03  1.0000E+01  1.1384E+00
   4.0000E+03  1.0000E+01  1.1484E+00
   2.0000E+02  3.0000E+01  1.3458E+00
   4.0000E+02  3.0000E+01  1.2519E+00
   6.0000E+02  3.0000E+01  1.2131E+00
   8.0000E+02  3.0000E+01  1.1928E+00
   1.0000E+03  3.0000E+01  1.1808E+00
   1.2000E+03  3.0000E+01  1.1731E+00
   1.4000E+03  3.0000E+01  1.1677E+00
   1.6000E+03  3.0000E+01  1.1629E+00
   1.8000E+03  3.0000E+01  1.1567E+00
   2.0000E+03  3.0000E+01  1.1478E+00
   2.2000E+03  3.0000E+01  1.1369E+00
   2.4000E+03  3.0000E+01  1.1263E+00
   2.6000E+03  3.0000E+01  1.1185E+00
   2.8000E+03  3.0000E+01  1.1144E+00
   3.0000E+03  3.0000E+01  1.1139E+00
   3.2000E+03  3.0000E+01  1.1163E+00
   3.4000E+03  3.0000E+01  1.1211E+00
   3.6000E+03  3.0000E+01  1.1276E+00
   3.8000E+03  3.0000E+01  1.1355E+00
   4.0000E+03  3.0000E+01  1.1443E+00
   2.0000E+02  1.0000E+02  1.3458E+00
   4.0000E+02  1.0000E+02  1.2519E+00
   6.0000E+02  1.0000E+02  1.2131E+00
   8.0000E+02  1.0000E+02  1.1928E+00
   1.0000E+03  1.0000E+02  1.1808E+00
   1.2000E+03  1.0000E+02  1.1731E+00
   1.4000E+03  1.0000E+02  1.1678E+00
   1.6000E+03  1.0000E+02  1.1634E+00
   1.8000E+03  1.0000E+02  1.1583E+00
   2.0000E+03  1.0000E+02  1.1514E+00
   2.2000E+03  1.0000E+02  1.1427E+00
   2.4000E+03  1.0000E+02  1.1335E+00
   2.6000E+03  1.0000E+02  1.1258E+00
   2.8000E+03  1.0000E+02  1.1207E+00
   3.0000E+03  1.0000E+02  1.1186E+00
   3.2000E+03  1.0000E+02  1.1193E+00
   3.4000E+03  1.0000E+02  1.1223E+00
   3.6000E+03  1.0000E+02  1.1271E+00
   3.8000E+03  1.0000E+02  1.1334E+00
   4.0000E+03  1.0000E+02  1.1408E+00
